product_id,product_name,product_mfg
134,"Apple iPhone 6S Plus, 32GB, Space Gray - for AT&T/T-Mobile (Renewed)",Apple
135,LG G8 ThinQ - 128GB - Verizon (Renewed) (Aurora Black),LG
136,"LG Stylo 4 32GB GSM Unlocked (AT&T/T-Mobile) 6.2"" FullVision Display Smartphone – Aurora Black",LG
137,"Apple iPhone 7, 128GB, Gold - For AT&T / T-Mobile (Renewed)",Apple
138,"Apple iPhone 8 Plus, 256GB, Gold - For AT&T / T-Mobile (Renewed)",Apple
139,"Motorola One Hyper 128GB + 4GB RAM, XT202-1, 6.5” FHD+, 64 MP Photos, LTE Factory Unlocked Smartphone - International Version (Blue Iceberg)",Motorola
140,Google Pixel 3 XL 64GB Unlocked GSM & CDMA 4G LTE Android Phone w/ 12.2MP Rear & Dual 8MP Front Camera - Just Black (Renewed),Google
141,"Samsung Galaxy S8 Active, 64GB, Meteor Gray - For AT&T / T-Mobile (Renewed)",Samsung
142,"Google - Pixel 3 XL Factory Unlock (Verizon) (Not Pink, 64GB) (Renewed)",Google
143,"Motorola Moto E6 Plus (32GB, 2GB RAM) 6.1"" Max Vision Screen, 3000mAh Removable Battery, Hotspot, FM Radio, US + Global 4G LTE Dual SIM GSM Factory Unlocked XT2025-1 - International Model (Cherry)",Motorola
144,"Xiaomi Redmi Note 8, 32GB/3GB RAM 6.3"" FHD+ Display Snapdragon 665, Dual SIM Factory Unlocked Global Version (Space Black)",Xiaomi
145,"LG G8X Thinq Dual Screen Unlocked Smartphone – 128 GB – Aurora Black (US Warranty) – Verizon, AT&T, T–Mobile, Sprint, Boost, Cricket, Metro (Universal Compatibility)",LG
146,"BLU VIVO XI+ - 6.2"" Full HD+ Smartphone GSM Unlocked and Verizon Compatible, 128GB+6GB RAM, AI Dual Cameras -Silver",BLU
147,"LG G7 ThinQ | 64GB, 4GB RAM | 6.1"" QHD+ FullVision display | Snapdragon 845 | Android 9.0 Pie | Dual 16MP Rear Camera | PLATINUM GREY | T-Mobile Unlocked",LG
148,"Xiaomi Mi 9 Lite 128GB + 6GB RAM, 6.39” AMOLED FHD+ LTE 48MP AI Triple Camera Factory Unlocked Smartphone - Global Version (Pearl White)",Xiaomi
149,"Samsung Galaxy S8, 64GB, Midnight Black - Fully Unlocked (Renewed Premium)",Samsung
150,Samsung Galaxy A10e GSM Unlocked (not CDMA) 32GB Smartphone - Black (Renewed),Samsung
